n,x,y,val,dP,lab,xT,yT
72,0.681862,-4.744201,0,3146,NaN,NaN,NaN
73,0.805288,-4.747128,0,3151,NaN,NaN,NaN
74,0.990411,-4.726642,0,3150,NaN,NaN,NaN
75,1.184329,-4.688594,0,3147,NaN,NaN,NaN
76,1.378218,-4.653468,0,3143,NaN,NaN,NaN
77,1.595573,-4.621267,0,3142,NaN,NaN,NaN
78,1.88922,-4.548072,0,3142,NaN,NaN,NaN
79,2.150483,-4.471933,0,3143,NaN,NaN,NaN
80,2.426327,-4.401637,0,3145,NaN,NaN,NaN
81,2.666865,-4.366484,0,3146,NaN,NaN,NaN
82,2.916104,-4.302028,0,3144,NaN,NaN,NaN
83,3.103694,-4.243422,0,3141,NaN,NaN,NaN
84,3.285358,-4.199462,0,3138,NaN,NaN,NaN
85,3.469885,-4.164291,0,3138,NaN,NaN,NaN
86,3.677757,-4.129116,0,3137,NaN,NaN,NaN
87,3.856274,-4.099801,0,3138,NaN,NaN,NaN
88,4.017168,-4.049961,0,3139,NaN,NaN,NaN
89,4.169228,-3.99425,0,3136,NaN,NaN,NaN
90,4.297848,-3.926801,0,3132,NaN,NaN,NaN
91,4.449797,-3.897472,0,3128,NaN,NaN,NaN
92,4.590002,-3.856407,0,3124,NaN,NaN,NaN
93,4.733072,-3.786002,0,3116,NaN,NaN,NaN
94,4.861492,-3.721454,0,3109,NaN,NaN,NaN
95,4.969444,-3.677438,0,3104,NaN,NaN,NaN
96,5.106521,-3.627549,0,3104,NaN,NaN,NaN
97,5.202731,-3.574719,0,3103,NaN,NaN,NaN
98,5.298913,-3.554172,0,3102,NaN,NaN,NaN
99,5.330966,-3.580589,0,3101,NaN,NaN,NaN
100,5.360103,-3.636353,0,3102,NaN,NaN,NaN
101,5.360103,-3.674504,0,3108,NaN,NaN,NaN
102,5.363017,-3.712651,0,3113,NaN,NaN,NaN
103,5.368844,-3.71852,0,3112,NaN,NaN,NaN
104,5.35719,-3.721454,0,3108,NaN,NaN,NaN
105,5.339708,-3.730257,0,3105,NaN,NaN,NaN
106,5.325139,-3.768399,0,3107,NaN,NaN,NaN
107,5.295998,-3.800671,0,3109,NaN,NaN,NaN
108,5.266855,-3.815339,0,3109,NaN,NaN,NaN
109,5.214391,-3.803605,0,3110,NaN,NaN,NaN
110,5.182325,-3.788936,0,3110,NaN,NaN,NaN
111,5.147341,-3.788936,0,3109,NaN,NaN,NaN
112,5.126931,-3.794804,0,3108,NaN,NaN,NaN
113,5.112352,-3.803605,0,3104,NaN,NaN,NaN
114,5.083193,-3.821206,0,3102,NaN,NaN,NaN
115,5.062779,-3.827073,0,3101,NaN,NaN,NaN
116,5.045281,-3.835874,0,3100,NaN,NaN,NaN
117,5.051114,-3.844674,0,3099,NaN,NaN,NaN
118,5.059863,-3.859341,0,3098,NaN,NaN,NaN
119,5.071528,-3.879873,0,3098,NaN,NaN,NaN
120,5.080276,-3.891606,0,3099,NaN,NaN,NaN
121,5.086109,-3.906271,0,3101,NaN,NaN,NaN
122,5.086109,-3.909204,0,3103,NaN,NaN,NaN
123,5.089025,-3.918003,0,3104,NaN,NaN,NaN
124,5.089025,-3.923868,0,3104,NaN,NaN,NaN
125,5.089025,-3.909204,0,3104,NaN,NaN,NaN
126,5.086109,-3.891606,0,3104,NaN,NaN,NaN
127,5.083193,-3.871074,0,3103,NaN,NaN,NaN
128,5.083193,-3.868141,0,3102,NaN,NaN,NaN
129,5.083193,-3.862274,0,3100,NaN,NaN,NaN
130,5.083193,-3.856407,0,3100,NaN,NaN,NaN
131,5.083193,-3.850541,0,3099,NaN,NaN,NaN
132,5.083193,-3.847607,0,3098,NaN,NaN,NaN
133,5.086109,-3.847607,0,3098,NaN,NaN,NaN
134,5.089025,-3.847607,0,3097,NaN,NaN,NaN
135,5.094857,-3.847607,0,3097,NaN,NaN,NaN
136,5.100689,-3.850541,0,3098,NaN,NaN,NaN
137,5.100689,-3.835874,0,3100,NaN,NaN,NaN
138,5.100689,-3.821206,0,3102,NaN,NaN,NaN
139,5.100689,-3.806538,0,3103,NaN,NaN,NaN
140,5.112352,-3.806538,0,3104,NaN,NaN,NaN
141,5.1211,-3.809472,0,3104,NaN,NaN,NaN
142,5.132763,-3.809472,0,3104,NaN,NaN,NaN
143,5.132763,-3.815339,0,3104,NaN,NaN,NaN
144,5.126931,-3.821206,0,3105,NaN,NaN,NaN
145,5.118184,-3.815339,0,3105,NaN,NaN,NaN
146,5.112352,-3.803605,0,3105,NaN,NaN,NaN
147,5.115268,-3.79187,0,3106,NaN,NaN,NaN
148,5.115268,-3.79187,0,3108,NaN,NaN,NaN
149,5.112352,-3.79187,0,3109,NaN,NaN,NaN
150,5.112352,-3.800671,0,3111,NaN,NaN,NaN
151,5.112352,-3.809472,0,3111,NaN,NaN,NaN
152,5.112352,-3.821206,0,3112,NaN,NaN,NaN
153,5.112352,-3.827073,0,3112,NaN,NaN,NaN
154,5.109437,-3.830007,0,3113,NaN,NaN,NaN
155,5.109437,-3.827073,0,3113,NaN,NaN,NaN
156,5.109437,-3.830007,0,3113,NaN,NaN,NaN
157,5.112352,-3.835874,0,3113,NaN,NaN,NaN
158,5.112352,-3.850541,0,3112,NaN,NaN,NaN
159,5.112352,-3.865207,0,3114,NaN,NaN,NaN
160,5.112352,-3.871074,0,3116,NaN,NaN,NaN
161,5.115268,-3.868141,0,3119,NaN,NaN,NaN
162,5.1211,-3.862274,0,3119,NaN,NaN,NaN
163,5.1211,-3.865207,0,3119,NaN,NaN,NaN
164,5.115268,-3.862274,0,3118,NaN,NaN,NaN
165,5.106521,-3.859341,0,3118,NaN,NaN,NaN
166,5.106521,-3.862274,0,3117,NaN,NaN,NaN
167,5.100689,-3.871074,0,3116,NaN,NaN,NaN
168,5.097773,-3.859341,0,3114,NaN,NaN,NaN
169,5.097773,-3.844674,0,3114,NaN,NaN,NaN
170,5.103605,-3.827073,0,3114,NaN,NaN,NaN
171,5.106521,-3.82414,0,3114,NaN,NaN,NaN
172,5.106521,-3.821206,0,3114,NaN,NaN,NaN
173,5.106521,-3.821206,0,3115,NaN,NaN,NaN
174,5.109437,-3.818273,0,3116,NaN,NaN,NaN
175,5.112352,-3.815339,0,3117,NaN,NaN,NaN
176,5.118184,-3.812406,0,3117,NaN,NaN,NaN
177,5.1211,-3.812406,0,3115,NaN,NaN,NaN
178,5.132763,-3.815339,0,3113,NaN,NaN,NaN
179,5.135679,-3.812406,0,3113,NaN,NaN,NaN
180,5.132763,-3.809472,0,3112,NaN,NaN,NaN
181,5.1211,-3.806538,0,3112,NaN,NaN,NaN
182,5.126931,-3.809472,0,3112,NaN,NaN,NaN
183,5.14151,-3.812406,0,3112,NaN,NaN,NaN
184,5.147341,-3.815339,0,3111,NaN,NaN,NaN
185,5.14151,-3.815339,0,3111,NaN,NaN,NaN
186,5.14151,-3.803605,0,3111,NaN,NaN,NaN
187,5.147341,-3.788936,0,3112,NaN,NaN,NaN
188,5.156087,-3.771333,0,3113,NaN,NaN,NaN
189,5.159003,-3.771333,0,3114,NaN,NaN,NaN
190,5.159003,-3.771333,0,3114,NaN,NaN,NaN
191,5.159003,-3.771333,0,3114,NaN,NaN,NaN
192,5.159003,-3.768399,0,3114,NaN,NaN,NaN
193,5.156087,-3.768399,0,3112,NaN,NaN,NaN
194,5.164834,-3.765465,0,3111,NaN,NaN,NaN
195,5.17358,-3.765465,0,3111,NaN,NaN,NaN
196,5.17941,-3.765465,0,3112,NaN,NaN,NaN
197,5.17358,-3.765465,0,3114,NaN,NaN,NaN
198,5.161918,-3.765465,0,3113,NaN,NaN,NaN
199,5.156087,-3.765465,0,3111,NaN,NaN,NaN
200,5.156087,-3.762531,0,3109,NaN,NaN,NaN
201,5.159003,-3.759597,0,3107,NaN,NaN,NaN
202,5.161918,-3.756663,0,3106,NaN,NaN,NaN
203,5.159003,-3.756663,0,3106,NaN,NaN,NaN
204,5.153172,-3.759597,0,3108,NaN,NaN,NaN
205,5.147341,-3.762531,0,3110,NaN,NaN,NaN
206,5.147341,-3.765465,0,3112,NaN,NaN,NaN
207,5.144425,-3.759597,0,3111,NaN,NaN,NaN
208,5.144425,-3.750795,0,3109,NaN,NaN,NaN
209,5.144425,-3.741993,0,3107,NaN,NaN,NaN
210,5.14151,-3.741993,0,3108,NaN,NaN,NaN
211,5.138594,-3.739059,0,3109,NaN,NaN,NaN
212,5.135679,-3.741993,0,3109,NaN,NaN,NaN
213,5.135679,-3.744927,0,3109,NaN,NaN,NaN
214,5.14151,-3.750795,0,3108,NaN,NaN,NaN
215,5.153172,-3.753729,0,3108,NaN,NaN,NaN
216,5.161918,-3.741993,0,3108,NaN,NaN,NaN
217,5.161918,-3.724388,0,3109,NaN,NaN,NaN
218,5.156087,-3.706783,0,3110,NaN,NaN,NaN
219,5.150256,-3.71852,0,3111,NaN,NaN,NaN
220,5.14151,-3.739059,0,3109,NaN,NaN,NaN
221,5.147341,-3.756663,0,3107,NaN,NaN,NaN
222,5.159003,-3.756663,0,3104,NaN,NaN,NaN
223,5.170664,-3.756663,0,3103,NaN,NaN,NaN
224,5.17941,-3.771333,0,3101,NaN,NaN,NaN
225,5.188156,-3.783068,0,3101,NaN,NaN,NaN
226,5.191071,-3.797737,0,3102,NaN,NaN,NaN
227,5.188156,-3.806538,0,3105,NaN,NaN,NaN
228,5.182325,-3.818273,0,3108,NaN,NaN,NaN
229,5.17941,-3.827073,0,3110,NaN,NaN,NaN
230,5.185241,-3.821206,0,3112,NaN,NaN,NaN
231,5.191071,-3.818273,0,3113,NaN,NaN,NaN
232,5.196901,-3.821206,0,3112,NaN,NaN,NaN
233,5.185241,-3.818273,0,3110,NaN,NaN,NaN
234,5.17358,-3.818273,0,3108,NaN,NaN,NaN
235,5.164834,-3.818273,0,3108,NaN,NaN,NaN
236,5.164834,-3.830007,0,3108,NaN,NaN,NaN
237,5.170664,-3.835874,0,3109,NaN,NaN,NaN
238,5.17358,-3.841741,0,3110,NaN,NaN,NaN
239,5.161918,-3.838807,0,3111,NaN,NaN,NaN
240,5.147341,-3.830007,0,3111,NaN,NaN,NaN
241,5.132763,-3.818273,0,3112,NaN,NaN,NaN
242,5.132763,-3.815339,0,3113,NaN,NaN,NaN
243,5.138594,-3.82414,0,3113,NaN,NaN,NaN
244,5.144425,-3.830007,0,3114,NaN,NaN,NaN
245,5.147341,-3.830007,0,3114,NaN,NaN,NaN
246,5.147341,-3.821206,0,3114,NaN,NaN,NaN
247,5.150256,-3.815339,0,3114,NaN,NaN,NaN
248,5.144425,-3.82414,0,3116,NaN,NaN,NaN
249,5.138594,-3.835874,0,3118,NaN,NaN,NaN
250,5.135679,-3.844674,0,3119,NaN,NaN,NaN
251,5.135679,-3.844674,0,3119,NaN,NaN,NaN
252,5.135679,-3.844674,0,3119,NaN,NaN,NaN
253,5.132763,-3.841741,0,3121,NaN,NaN,NaN
254,5.132763,-3.838807,0,3122,NaN,NaN,NaN
255,5.126931,-3.838807,0,3123,NaN,NaN,NaN
256,5.132763,-3.841741,0,3125,NaN,NaN,NaN
257,5.144425,-3.841741,0,3126,NaN,NaN,NaN
258,5.159003,-3.841741,0,3127,NaN,NaN,NaN
259,5.17358,-3.841741,0,3125,NaN,NaN,NaN
260,5.17941,-3.847607,0,3124,NaN,NaN,NaN
261,5.176495,-3.853474,0,3124,NaN,NaN,NaN
262,5.17358,-3.862274,0,3125,NaN,NaN,NaN
263,5.170664,-3.865207,0,3125,NaN,NaN,NaN
264,5.176495,-3.871074,0,3124,NaN,NaN,NaN
265,5.176495,-3.868141,0,3123,NaN,NaN,NaN
266,5.164834,-3.862274,0,3121,NaN,NaN,NaN
267,5.153172,-3.856407,0,3119,NaN,NaN,NaN
268,5.147341,-3.856407,0,3119,NaN,NaN,NaN
269,5.156087,-3.859341,0,3120,NaN,NaN,NaN
270,5.159003,-3.862274,0,3119,NaN,NaN,NaN
271,5.153172,-3.850541,0,3119,NaN,NaN,NaN
272,5.144425,-3.838807,0,3119,NaN,NaN,NaN
273,5.153172,-3.827073,0,3119,NaN,NaN,NaN
274,5.17358,-3.82414,0,3120,NaN,NaN,NaN
275,5.193986,-3.815339,0,3122,NaN,NaN,NaN
276,5.199816,-3.803605,0,3124,NaN,NaN,NaN
277,5.208561,-3.800671,0,3127,NaN,NaN,NaN
278,5.211476,-3.806538,0,3128,NaN,NaN,NaN
279,5.211476,-3.812406,0,3127,NaN,NaN,NaN
280,5.191071,-3.818273,0,3126,NaN,NaN,NaN
281,5.17358,-3.818273,0,3124,NaN,NaN,NaN
282,5.167749,-3.809472,0,3125,NaN,NaN,NaN
283,5.17941,-3.797737,0,3126,NaN,NaN,NaN
284,5.188156,-3.777201,0,3128,NaN,NaN,NaN
285,5.188156,-3.771333,0,3126,NaN,NaN,NaN
286,5.185241,-3.771333,0,3125,NaN,NaN,NaN
287,5.17941,-3.777201,0,3124,NaN,NaN,NaN
288,5.17358,-3.777201,0,3124,NaN,NaN,NaN
289,5.167749,-3.777201,0,3124,NaN,NaN,NaN
290,5.167749,-3.777201,0,3123,NaN,NaN,NaN
291,5.170664,-3.774267,0,3122,NaN,NaN,NaN
292,5.170664,-3.768399,0,3121,NaN,NaN,NaN
293,5.17358,-3.768399,0,3124,NaN,NaN,NaN
294,5.185241,-3.768399,0,3126,NaN,NaN,NaN
295,5.199816,-3.771333,0,3127,NaN,NaN,NaN
296,5.214391,-3.771333,0,3125,NaN,NaN,NaN
297,5.217306,-3.768399,0,3122,NaN,NaN,NaN
298,5.205646,-3.765465,0,3121,NaN,NaN,NaN
299,5.191071,-3.762531,0,3120,NaN,NaN,NaN
300,5.182325,-3.756663,0,3121,NaN,NaN,NaN
301,5.188156,-3.747861,0,3124,NaN,NaN,NaN
302,5.193986,-3.739059,0,3126,NaN,NaN,NaN
303,5.205646,-3.736125,0,3124,NaN,NaN,NaN
304,5.211476,-3.741993,0,3122,NaN,NaN,NaN
305,5.214391,-3.747861,0,3123,NaN,NaN,NaN
306,5.211476,-3.756663,0,3126,NaN,NaN,NaN
307,5.205646,-3.753729,0,3129,NaN,NaN,NaN
308,5.196901,-3.750795,0,3129,NaN,NaN,NaN
309,5.193986,-3.747861,0,3128,NaN,NaN,NaN
310,5.191071,-3.736125,0,3125,NaN,NaN,NaN
311,5.193986,-3.721454,0,3123,NaN,NaN,NaN
312,5.193986,-3.709717,0,3122,NaN,NaN,NaN
313,5.185241,-3.709717,0,3121,NaN,NaN,NaN
314,5.17941,-3.712651,0,3120,NaN,NaN,NaN
315,5.170664,-3.706783,0,3121,NaN,NaN,NaN
316,5.159003,-3.700914,0,3122,NaN,NaN,NaN
317,5.147341,-3.695045,0,3124,NaN,NaN,NaN
318,5.159003,-3.695045,0,3123,NaN,NaN,NaN
319,5.182325,-3.695045,0,3122,NaN,NaN,NaN
320,5.211476,-3.709717,0,3120,NaN,NaN,NaN
321,5.214391,-3.724388,0,3121,NaN,NaN,NaN
322,5.188156,-3.739059,0,3123,NaN,NaN,NaN
323,5.159003,-3.736125,0,3125,NaN,NaN,NaN
324,5.129847,-3.736125,0,3124,NaN,NaN,NaN
325,5.129847,-3.733191,0,3124,NaN,NaN,NaN
326,5.129847,-3.727322,0,3123,NaN,NaN,NaN
327,5.124016,-3.721454,0,3123,NaN,NaN,NaN
328,5.118184,-3.721454,0,3122,NaN,NaN,NaN
329,5.115268,-3.71852,0,3123,NaN,NaN,NaN
330,5.118184,-3.724388,0,3124,NaN,NaN,NaN
331,5.118184,-3.736125,0,3125,NaN,NaN,NaN
332,5.115268,-3.747861,0,3126,NaN,NaN,NaN
333,5.118184,-3.753729,0,3128,NaN,NaN,NaN
334,5.126931,-3.753729,0,3128,NaN,NaN,NaN
335,5.135679,-3.750795,0,3125,NaN,NaN,NaN
336,5.129847,-3.747861,0,3122,NaN,NaN,NaN
337,5.124016,-3.747861,0,3120,NaN,NaN,NaN
338,5.115268,-3.741993,0,3121,NaN,NaN,NaN
339,5.115268,-3.741993,0,3122,NaN,NaN,NaN
340,5.118184,-3.739059,0,3120,NaN,NaN,NaN
341,5.1211,-3.733191,0,3117,NaN,NaN,NaN
342,5.115268,-3.730257,0,3116,NaN,NaN,NaN
343,5.112352,-3.721454,0,3117,NaN,NaN,NaN
344,5.106521,-3.712651,0,3118,NaN,NaN,NaN
345,5.126931,-3.703848,0,3117,NaN,NaN,NaN
346,5.144425,-3.700914,0,3115,NaN,NaN,NaN
347,5.164834,-3.703848,0,3113,NaN,NaN,NaN
348,5.167749,-3.703848,0,3114,NaN,NaN,NaN
349,5.176495,-3.706783,0,3114,NaN,NaN,NaN
350,5.182325,-3.709717,0,3115,NaN,NaN,NaN
351,5.182325,-3.709717,0,3114,NaN,NaN,NaN
352,5.182325,-3.712651,0,3115,NaN,NaN,NaN
353,5.182325,-3.71852,0,3116,NaN,NaN,NaN
354,5.182325,-3.730257,0,3117,NaN,NaN,NaN
355,5.170664,-3.739059,0,3115,NaN,NaN,NaN
356,5.156087,-3.730257,0,3111,NaN,NaN,NaN
357,5.161918,-3.715585,0,3111,NaN,NaN,NaN
358,5.176495,-3.69798,0,3113,NaN,NaN,NaN
359,5.193986,-3.695045,0,3113,NaN,NaN,NaN
360,5.191071,-3.689176,0,3110,NaN,NaN,NaN
361,5.188156,-3.689176,0,3108,NaN,NaN,NaN
362,5.185241,-3.689176,0,3106,NaN,NaN,NaN
363,5.185241,-3.695045,0,3105,NaN,NaN,NaN
364,5.185241,-3.700914,0,3108,NaN,NaN,NaN
365,5.188156,-3.69798,0,3112,NaN,NaN,NaN
366,5.191071,-3.692111,0,3112,NaN,NaN,NaN
367,5.193986,-3.695045,0,3108,NaN,NaN,NaN
368,5.196901,-3.71852,0,3104,NaN,NaN,NaN
369,5.182325,-3.741993,0,3104,NaN,NaN,NaN
370,5.164834,-3.756663,0,3105,NaN,NaN,NaN
371,5.150256,-3.750795,0,3106,NaN,NaN,NaN
372,5.156087,-3.756663,0,3107,NaN,NaN,NaN
373,5.161918,-3.768399,0,3105,NaN,NaN,NaN
374,5.161918,-3.777201,0,3102,NaN,NaN,NaN
375,5.159003,-3.768399,0,3102,NaN,NaN,NaN
376,5.156087,-3.759597,0,3106,NaN,NaN,NaN
377,5.156087,-3.759597,0,3108,NaN,NaN,NaN
378,5.156087,-3.765465,0,3106,NaN,NaN,NaN
379,5.153172,-3.774267,0,3104,NaN,NaN,NaN
380,5.150256,-3.777201,0,3103,NaN,NaN,NaN
381,5.14151,-3.768399,0,3103,NaN,NaN,NaN
382,5.138594,-3.753729,0,3101,NaN,NaN,NaN
383,5.135679,-3.762531,0,3098,NaN,NaN,NaN
384,5.147341,-3.783068,0,3097,NaN,NaN,NaN
385,5.150256,-3.800671,0,3098,NaN,NaN,NaN
386,5.147341,-3.800671,0,3097,NaN,NaN,NaN
387,5.135679,-3.806538,0,3096,NaN,NaN,NaN
388,5.129847,-3.815339,0,3094,NaN,NaN,NaN
389,5.132763,-3.868141,0,3092,NaN,NaN,NaN
390,5.135679,-3.918003,0,3091,NaN,NaN,NaN
391,5.150256,-3.967859,0,3089,NaN,NaN,NaN
392,5.159003,-3.903338,0,3087,NaN,NaN,NaN
393,5.23771,-3.662766,0,3104,NaN,NaN,NaN
394,5.307655,-3.430872,0,3122,NaN,NaN,NaN
395,5.380497,-3.386829,0,3130,NaN,NaN,NaN
396,5.392151,-3.577654,0,3104,NaN,NaN,NaN
397,5.40089,-3.768399,0,3078,NaN,NaN,NaN
398,5.40963,-3.841741,0,3062,NaN,NaN,NaN
399,5.40963,-3.841741,0,3062,NaN,NaN,NaN
400,NaN,NaN,4,NaN,NaN,NaN,NaN
401,NaN,NaN,4,NaN,NaN,NaN,NaN
402,NaN,NaN,4,NaN,NaN,NaN,NaN
403,NaN,NaN,4,NaN,NaN,NaN,NaN
404,NaN,NaN,4,NaN,NaN,NaN,NaN
405,NaN,NaN,4,NaN,NaN,NaN,NaN
406,NaN,NaN,4,NaN,NaN,NaN,NaN
407,NaN,NaN,4,NaN,NaN,NaN,NaN
408,NaN,NaN,4,NaN,NaN,NaN,NaN
409,NaN,NaN,4,NaN,NaN,NaN,NaN
410,NaN,NaN,4,NaN,NaN,NaN,NaN
411,NaN,NaN,4,NaN,NaN,NaN,NaN
412,NaN,NaN,4,NaN,NaN,NaN,NaN
413,NaN,NaN,4,NaN,NaN,NaN,NaN
414,NaN,NaN,4,NaN,NaN,NaN,NaN
415,NaN,NaN,4,NaN,NaN,NaN,NaN
416,NaN,NaN,4,NaN,NaN,NaN,NaN
417,NaN,NaN,4,NaN,NaN,NaN,NaN
418,NaN,NaN,4,NaN,NaN,NaN,NaN
419,NaN,NaN,4,NaN,NaN,NaN,NaN
420,NaN,NaN,4,NaN,NaN,NaN,NaN
421,NaN,NaN,4,NaN,NaN,NaN,NaN
422,NaN,NaN,4,NaN,NaN,NaN,NaN
423,NaN,NaN,4,NaN,NaN,NaN,NaN
424,NaN,NaN,4,NaN,NaN,NaN,NaN
425,NaN,NaN,4,NaN,NaN,NaN,NaN
426,NaN,NaN,4,NaN,NaN,NaN,NaN
427,NaN,NaN,4,NaN,NaN,NaN,NaN
428,NaN,NaN,4,NaN,NaN,NaN,NaN
429,NaN,NaN,4,NaN,NaN,NaN,NaN
430,NaN,NaN,4,NaN,NaN,NaN,NaN
431,NaN,NaN,4,NaN,NaN,NaN,NaN
432,NaN,NaN,4,NaN,NaN,NaN,NaN
433,NaN,NaN,4,NaN,NaN,NaN,NaN
434,NaN,NaN,4,NaN,NaN,NaN,NaN
435,NaN,NaN,4,NaN,NaN,NaN,NaN
436,NaN,NaN,4,NaN,NaN,NaN,NaN
437,NaN,NaN,4,NaN,NaN,NaN,NaN
438,NaN,NaN,4,NaN,NaN,NaN,NaN
439,NaN,NaN,4,NaN,NaN,NaN,NaN
440,NaN,NaN,4,NaN,NaN,NaN,NaN
441,NaN,NaN,4,NaN,NaN,NaN,NaN
442,NaN,NaN,4,NaN,NaN,NaN,NaN
443,NaN,NaN,4,NaN,NaN,NaN,NaN
444,NaN,NaN,4,NaN,NaN,NaN,NaN
445,NaN,NaN,4,NaN,NaN,NaN,NaN
446,NaN,NaN,4,NaN,NaN,NaN,NaN
447,NaN,NaN,4,NaN,NaN,NaN,NaN
448,NaN,NaN,4,NaN,NaN,NaN,NaN
449,NaN,NaN,4,NaN,NaN,NaN,NaN
450,NaN,NaN,4,NaN,NaN,NaN,NaN
451,NaN,NaN,4,NaN,NaN,NaN,NaN
452,NaN,NaN,4,NaN,NaN,NaN,NaN
453,NaN,NaN,4,NaN,NaN,NaN,NaN
454,NaN,NaN,4,NaN,NaN,NaN,NaN
455,NaN,NaN,4,NaN,NaN,NaN,NaN
456,NaN,NaN,4,NaN,NaN,NaN,NaN
457,NaN,NaN,4,NaN,NaN,NaN,NaN
458,NaN,NaN,4,NaN,NaN,NaN,NaN
459,NaN,NaN,4,NaN,NaN,NaN,NaN
460,NaN,NaN,4,NaN,NaN,NaN,NaN
461,NaN,NaN,4,NaN,NaN,NaN,NaN
462,NaN,NaN,4,NaN,NaN,NaN,NaN
463,NaN,NaN,4,NaN,NaN,NaN,NaN
464,NaN,NaN,4,NaN,NaN,NaN,NaN
465,NaN,NaN,4,NaN,NaN,NaN,NaN
466,NaN,NaN,4,NaN,NaN,NaN,NaN
467,NaN,NaN,4,NaN,NaN,NaN,NaN
468,NaN,NaN,4,NaN,NaN,NaN,NaN
469,NaN,NaN,4,NaN,NaN,NaN,NaN
